"id","region","travel_time","income","income_parent1","income_parent2","medicine"
1,2,0.889810006796635,64.4679252998257,0,61.660830428157,"Yes"
2,1,2.90639145932965,74.4398584287719,18.0092928003337,27.7357155623025,"Yes"
3,3,2.43944658980972,132.756458387268,45.4689852399937,0,"Yes"
4,5,1.93009975648301,167.595656074124,50.694885892854,27.8310713858296,"Yes"
5,4,2.81945678178633,47.6298690225996,56.274138832144,0,"Yes"
6,1,2.3194122209943,74.755837517536,70.2920546809012,34.2549211986263,"No"
7,4,2.26510437770479,123.503970016323,45.374734368991,45.259283916965,"Yes"
8,2,1.55643636465161,147.555526386105,58.7401587061386,61.2048928485331,"Yes"
9,2,1.18270745325233,54.4174130328201,47.6162370955273,0,"Yes"
10,0,0,82.617378533019,95.2870188976297,0,"No"
11,2,0.884924144171259,130.338344596554,0,0,"Yes"
12,1,0.437175371220194,154.203602067441,72.3502133058618,0,"Yes"
13,3,2.40284176641782,74.1526892245422,43.972230346208,48.53709266531,"No"
14,6,3.35404590878775,0,40.6357189467219,17.873590662541,"No"
15,4,1.42669872380126,0,78.8368839487798,0,"Yes"
16,0,0,141.296173045805,73.0524498789627,0,"No"
17,1,2.37155665125479,0,0,0,"Yes"
18,0,1.18076564414867,111.308473498432,82.040268184168,59.6046529548306,"Yes"
19,0,0.131273119216459,151.173899090917,77.2558398679982,78.1770003622851,"Yes"
20,9,3.169326419783,58.7857527026334,-9999999,18.9402753367815,"No"
21,9,2.98429025525312,27.8916403857747,30.7745060840322,41.9852809508398,"No"
22,6,1.9109407790949,118.060739620327,54.3631326945988,36.7459801169467,"No"
23,5,1.77367660088811,76.2783616365138,38.59085316952,49.985495963536,"No"
24,2,1.19488137542436,86.9539808196139,72.4765856673082,0,"No"
25,1,0.618441095447976,67.9666888567588,86.5606963817818,0,"No"
26,1,-1.98610745553425,119.949280591498,50.0269374145645,41.7015234137561,"No"
27,8,3.03002961752666,37.4529987462316,34.0989836421948,0,"Yes"
28,1,1.22833743347749,92.9070228595419,51.5672847137916,29.6686235426889,"No"
29,5,1.88837097851799,104.184059653569,52.1044640817172,54.3961712990456,"Yes"
30,2,0.818816855223155,71.7518818336956,70.9431442911104,0,"No"
31,7,2.33868464498525,120.976553140047,48.2614374034006,22.544457754046,"No"
32,3,1.5337005156532,71.4212738882261,45.2064230119697,58.2184315506736,"No"
33,6,2.03552144588854,122.372174537222,26.5426431731036,46.6915663268092,"Yes"
34,4,2.45545520430721,128.999243806295,52.3479156723138,22.6042443969288,"No"
35,7,3.08913513892502,67.6785575196177,0,0,"Yes"
36,3,-1.25095539407934,105.600283209885,66.8078119437654,49.5187483090817,"Yes"
37,1,3.33556031127171,92.6756957989144,23.1846840089439,33.4107176475123,"Yes"
38,5,2.25203043728579,92.2920699773025,81.1639490805715,45.2304134580623,"No"
39,2,0.814872046963705,89.7627015658665,0,40.598393519419,"No"
40,4,1.43638471664036,117.212767792608,44.297807491129,0,"Yes"
41,8,3.32505568205713,98.5321907274682,19.1458707020006,18.0878518055757,"No"
42,2,1.35419989453126,111.01283786258,74.1912946807587,0,"No"
43,3,2.63581711335715,113.747546827167,0,44.928656662508,"Yes"
44,2,2.69458272753535,80.0251348329211,45.0288270488066,30.9989474169819,"No"
45,0,2.97540046254904,101.579217532222,45.1068687335341,0,"No"
46,3,1.60328989189869,125.615734204485,56.9181247488701,52.3895308869828,"Yes"
47,6,2.17907494508833,0,61.2682817442637,44.4032463364313,"Yes"
48,2,1.21714117113054,82.3587408393299,76.18649273636,30.3907088793483,"No"
49,5,2.9063495331915,38.0359089230605,17.9762480091033,21.0615030564491,"No"
50,1,0.306554997693462,0,71.5446679141283,34.7762582036772,"No"
51,2,1.10047145303607,108.455255542938,44.3281597897399,33.1426798421082,"Yes"
52,0,0.256493815798696,130.67731313576,73.2728315425468,0,"Yes"
53,0,1.53549597638764,114.174838130921,55.5358304798908,0,"No"
54,8,3.86901368573768,50.2157090840065,0,11.0775679656668,"No"
55,1,0.290380597053009,102.29816878627,71.3067900530671,33.7187617598702,"No"
56,3,1.90187061905803,94.7012728323953,0,28.3233372192267,"No"
57,4,1.90685629902354,95.3292019132333,53.3974227876977,26.8879783813319,"No"
58,8,2.92614931496976,0,68.9141231404162,21.4650676542858,"Yes"
59,3,1.21991536181142,140.514091209969,44.1683637905072,56.9024981655154,"Yes"
60,1,0.550917749365271,141.95041677437,85.1882322543649,51.9280403389826,"Yes"
61,0,1.33657054558909,-9999999,0,27.8727007737256,"Yes"
62,4,3.2471325196776,49.024940774447,37.283041052163,31.0629691603156,"No"
63,7,3.50177187780754,78.4105441001578,53.0418943084845,18.834414488963,"No"
64,3,1.45406844459243,80.5083979604281,67.1434166085905,27.5839882675202,"No"
65,2,1.80054377182905,138.710170976783,62.6652432474755,50.3779703631528,"No"
66,3,3.84004733328281,46.2309132207779,23.0584718425978,21.5642230861884,"No"
67,0,1.03367311423276,117.530994199925,62.3630351220235,36.3547287557937,"Yes"
68,8,2.70400497732961,54.595250306674,32.5173008900029,20.7603486490393,"No"
69,5,2.21689148322715,106.546270248688,0,48.9947116976806,"No"
70,2,1.06537326107901,0,45.5326527974568,58.7905326035825,"No"
71,0,0.410700675915666,109.390647540761,60.2542791735255,72.9573994173515,"No"
72,2,1.32384416391156,75.642574895343,56.6955999126087,51.7370289145273,"No"
73,1,0.531058365063396,128.790856635775,-9999999,52.1244502160909,"Yes"
74,3,2.98794189975762,48.6923456915061,32.8760221210152,33.2897601279294,"No"
75,7,3.49798117430112,55.2773878319945,13.4436737184372,0,"No"
76,6,2.68740791656015,53.4727348980368,0,19.7432501647101,"Yes"
